task,model,state,year,shift,atc,doc,acc_drop_check
pubcov,rf,PA,2015,combined,-0.015000000000000013,-0.003620683608200448,-0.03499999999999992
pubcov,rf,PA,2016,combined,-0.02112499999999995,-0.004144339734372671,-0.025124999999999953
pubcov,rf,PA,2017,combined,-0.01824999999999999,-0.005116973019130278,-0.014124999999999943
pubcov,rf,PA,2018,combined,-0.02587499999999998,-0.00540465897428577,-0.015249999999999986
pubcov,rf,OH,2014,geographic,-0.012124999999999941,0.0010735189122949018,-0.016374999999999917
pubcov,rf,OH,2015,combined,0.0022500000000000853,0.0025999368310535287,0.0022500000000000853
pubcov,rf,OH,2016,combined,-0.005624999999999991,0.0011193360910088934,0.008125000000000049
pubcov,rf,OH,2017,combined,-0.01737499999999992,-0.0024065572857806528,0.014000000000000012
pubcov,rf,OH,2018,combined,-0.014249999999999985,-0.0006985075039370736,0.005249999999999977
pubcov,rf,IL,2014,geographic,-0.014374999999999916,-0.0041561097933539015,-0.027000000000000024
pubcov,rf,IL,2015,combined,-0.013000000000000012,-0.004073348517858233,-0.0034999999999999476
pubcov,rf,IL,2016,combined,-0.018000000000000016,-0.003131168360078984,0.0015000000000000568
pubcov,rf,IL,2017,combined,-0.018000000000000016,-0.005412641059431067,-0.004375000000000018
pubcov,rf,IL,2018,combined,-0.014874999999999972,-0.005885178802290225,-0.007000000000000006
pubcov,rf,GA,2014,geographic,0.016750000000000043,0.0063487593916110585,-0.053875000000000006
pubcov,rf,GA,2015,combined,0.01650000000000007,0.00605598785023731,-0.05487500000000001
pubcov,rf,GA,2016,combined,0.004750000000000032,0.0029770546804478437,-0.05725000000000002
pubcov,rf,GA,2017,combined,0.01287500000000008,0.005782448903667969,-0.05625000000000002
pubcov,rf,GA,2018,combined,0.01375000000000004,0.005883834418870082,-0.053749999999999964
pubcov,rf,NC,2014,geographic,0.0,-0.000763539268020752,-0.051999999999999935
pubcov,rf,NC,2015,combined,-0.003249999999999975,-0.00011037228277865907,-0.03925000000000001
pubcov,rf,NC,2016,combined,-0.008375000000000021,-0.0006142687652112011,-0.03025
pubcov,rf,NC,2017,combined,-0.02312499999999995,-0.004411780001294829,-0.043625000000000025
pubcov,rf,NC,2018,combined,-0.010000000000000009,-0.0013712720450478333,-0.046875
pubcov,rf,WA,2014,geographic,-0.0044999999999999485,-0.0025180320412138135,-0.023249999999999993
pubcov,rf,WA,2015,combined,0.0035000000000000586,-0.0014660870910230273,0.019000000000000017
pubcov,rf,WA,2016,combined,-0.0017499999999999183,-0.0019320537752601785,0.019000000000000017
pubcov,rf,WA,2017,combined,-0.003874999999999962,-0.00386854957057281,0.02112500000000006
pubcov,rf,WA,2018,combined,-0.0024999999999999467,-0.0032352178728050074,0.013875000000000082
pubcov,rf,AZ,2014,geographic,0.03575000000000006,0.013273578039274758,0.012125000000000052
pubcov,rf,AZ,2015,combined,0.03787499999999999,0.013645695801462132,0.034499999999999975
pubcov,rf,AZ,2016,combined,0.02862500000000001,0.01093776605083574,0.03125
pubcov,rf,AZ,2017,combined,0.022750000000000048,0.011379995417471367,0.038250000000000006
pubcov,rf,AZ,2018,combined,0.020500000000000074,0.00990490941701705,0.02112500000000006
pubcov,rf,MA,2014,geographic,-0.03337499999999993,-0.01589052808783875,0.021625000000000005
pubcov,rf,MA,2015,combined,-0.03587499999999999,-0.014977590535131924,0.026000000000000023
pubcov,rf,MA,2016,combined,-0.03025,-0.015566779747417825,0.027750000000000052
pubcov,rf,MA,2017,combined,-0.04425000000000001,-0.01802527535515197,0.020375000000000032
pubcov,rf,MA,2018,combined,-0.04162500000000002,-0.017298992077417696,0.015625
pubcov,xgb,CA,2015,temporal,-0.005125000000000046,0.0028867721557617188,0.05862500000000004
pubcov,xgb,CA,2016,temporal,-0.021375000000000033,-0.0036035776138305664,0.05700000000000005
pubcov,xgb,CA,2017,temporal,-0.012624999999999997,0.00018292665481567383,0.06574999999999998
