task,model,state,year,shift,acc_src,acc_drop,auc_drop,ap_drop,cov,pred,expl,n_target
income,xgb,PA,2017,combined,0.7885,0.019000000000000017,0.025806852749054587,0.044653060666733135,0.09608040643229465,0.041875,0.03995229680190229,8000
income,xgb,PA,2018,combined,0.7885,0.024374999999999925,0.02531206285292653,0.02685806895287246,0.10323485703084989,0.046375,0.05168553982079965,8000
income,xgb,OH,2014,geographic,0.7885,0.00012499999999993072,0.013337532560582566,0.07168237787747578,0.0832406966412651,0.020625,0.03908725384108306,8000
income,xgb,OH,2015,combined,0.7885,0.009624999999999995,0.01832488247975117,0.05793994464879093,0.0971101674126984,0.024375,0.05213318414465747,8000
income,xgb,OH,2016,combined,0.7885,0.011249999999999982,0.018341811635253058,0.05494661875310647,0.10515943255092086,0.031875,0.04919835341531981,8000
income,xgb,OH,2017,combined,0.7885,0.016874999999999973,0.018722673829965175,0.03788361840243826,0.07910239074426717,0.04325,0.04844406172802211,8000
income,xgb,OH,2018,combined,0.7885,0.01849999999999996,0.019046282846837514,0.017660421022401396,0.09318841025402547,0.04925,0.038193959764308415,8000
income,xgb,IL,2014,geographic,0.7885,0.01737500000000003,0.016694559451481128,0.02630904870259476,0.0716845421135528,0.044,0.010017092615529015,8000
income,xgb,IL,2015,combined,0.7885,0.016625,0.01654223060183313,0.014884826340919144,0.10804729431742155,0.05075,0.0271170514919039,8000
income,xgb,IL,2016,combined,0.7885,0.023749999999999938,0.021026819751967074,0.02247912638181715,0.08432077700485618,0.05475,0.03299912508882974,8000
income,xgb,IL,2017,combined,0.7885,0.02312499999999995,0.02160354983192636,0.0070238249178223855,0.10275017579301982,0.0625,0.03612510642088808,8000
income,xgb,IL,2018,combined,0.7885,0.03887499999999999,0.029526166404146292,-0.0025871090106076577,0.07465168746074857,0.065125,0.015520266150153252,8000
income,xgb,GA,2014,geographic,0.7885,0.007124999999999937,0.008356106681840725,0.06419911322276561,0.025189075630251967,0.045375,0.014122021583318874,8000
income,xgb,GA,2015,combined,0.7885,0.018000000000000016,0.019091931867979084,0.06341425893698482,0.033196436943272456,0.0515,0.020132333926325227,8000
income,xgb,GA,2016,combined,0.7885,0.020625000000000004,0.01671080437257988,0.03319681551860221,0.0398199335176066,0.064125,0.03549557499021045,8000
income,xgb,GA,2017,combined,0.7885,0.01574999999999993,0.013756145726015467,0.019030441835001355,0.0642207477876815,0.060875,0.025566032979072957,8000
income,xgb,GA,2018,combined,0.7885,0.025000000000000022,0.02440598333782773,0.03419542831837863,0.08281145181450245,0.0725,0.027552847601534133,8000
income,xgb,NC,2014,geographic,0.7885,0.015375000000000028,0.013308066119484097,0.09347470418271642,0.0496602556201764,0.050125,0.03399651601077874,8000
income,xgb,NC,2015,combined,0.7885,0.029124999999999956,0.03193473246359446,0.11127422240241369,0.0531967475625843,0.058,0.026806951039533088,8000
income,xgb,NC,2016,combined,0.7885,0.029625000000000012,0.022625098706527402,0.07979590539361725,0.012793878704986827,0.05675,0.030999649085609933,8000
income,xgb,NC,2017,combined,0.7885,0.02849999999999997,0.030579908464175465,0.07041256346295333,0.06410860610909364,0.067,0.036321276676234325,8000
income,xgb,NC,2018,combined,0.7885,0.025124999999999953,0.025204421493461138,0.05171515989659892,0.044908872721818094,0.068375,0.025939719553372705,8000
income,xgb,WA,2014,geographic,0.7885,0.028124999999999956,0.021980921044210566,0.023272906843543106,0.07353204412817638,0.049875,0.035674070354033346,8000
income,xgb,WA,2015,combined,0.7885,0.026874999999999982,0.021252790519855957,-0.0016079175594527761,0.04526905454591823,0.061875,0.047804423913373445,8000
income,xgb,WA,2016,combined,0.7885,0.02012499999999995,0.01697393146558257,-0.008914242699629593,0.04822885265395205,0.05825,0.026462997134435524,8000
income,xgb,WA,2017,combined,0.7885,0.028249999999999997,0.019581827577019095,-0.01897457929830959,0.06444606554030519,0.0655,0.03426153679676186,8000
income,xgb,WA,2018,combined,0.7885,0.020749999999999935,0.01734481127268206,-0.03347857344289584,0.05344025601440072,0.064125,0.02153069767201955,8000
income,xgb,AZ,2014,geographic,0.7885,0.019499999999999962,0.029308096772920567,0.095924782385023,0.03758024999999998,0.024625,0.029344019000667732,8000
income,xgb,AZ,2015,combined,0.7885,0.01574999999999993,0.02253988125713602,0.08354155512699202,0.017281228122812298,0.019,0.030982952641747923,8000
income,xgb,AZ,2016,combined,0.7885,0.021749999999999936,0.029430530942044064,0.0905251518471013,0.004718510616648963,0.031,0.034715455506053206,8000
income,xgb,AZ,2017,combined,0.7885,0.015625,0.01953793502602108,0.0548682586924899,0.008064502002111729,0.022125,0.02330299848248691,8000
income,xgb,AZ,2018,combined,0.7885,0.019499999999999962,0.024572968691727204,0.0439059968949691,0.019235312691961326,0.03725,0.04713195903052555,8000
income,xgb,MA,2014,geographic,0.7885,0.005874999999999964,-0.004166773389084888,-0.052155521608893585,0.15168972379204804,0.059875,0.025872111778480037,8000
income,xgb,MA,2015,combined,0.7885,0.006249999999999978,-0.0024273041974611775,-0.05681801504776984,0.1500152503812595,0.060625,0.022260489563389402,8000
income,xgb,MA,2016,combined,0.7885,0.014000000000000012,0.0014896662795000903,-0.061524631168920596,0.15537579844934513,0.066125,0.02729685466470978,8000
income,xgb,MA,2017,combined,0.7885,0.019499999999999962,0.005082814630433918,-0.055902922239593145,0.18678192819281936,0.0785,0.04710099851954878,8000
income,xgb,MA,2018,combined,0.7885,0.021874999999999978,0.005539909187376568,-0.0771243191436185,0.2135528542114169,0.08975,0.02316803845882941,8000
pubcov,logreg,CA,2015,temporal,0.7485,0.05625000000000002,0.019078560129439093,-0.05586537202236763,0.0005227646496038796,0.012875,0.027501806616783142,8000
pubcov,logreg,CA,2016,temporal,0.7485,0.06362500000000004,0.009519014330315656,-0.07248840740363882,0.04466293848398584,0.011875,0.012873932719230652,8000
pubcov,logreg,CA,2017,temporal,0.7485,0.06762500000000005,0.033358907872999555,-0.044767381948086715,0.0321068565146877,0.017875,0.013211145997047424,8000
pubcov,logreg,CA,2018,temporal,0.7485,0.06000000000000005,0.023224138131990313,-0.05035940272411232,0.00639355754201798,0.01275,0.013460148125886917,8000
pubcov,logreg,TX,2014,geographic,0.7485,-0.08124999999999993,-0.049675124204616616,0.06609763549541481,0.09209040296692717,0.01775,0.022296667098999023,8000
pubcov,logreg,TX,2015,combined,0.7485,-0.08187499999999992,-0.05203116033962163,0.06079228093380801,0.07206678083176477,0.02025,0.01575269177556038,8000
pubcov,logreg,TX,2016,combined,0.7485,-0.07487499999999991,-0.02722885378053619,0.0770487371051406,0.06009769478704441,0.0225,0.0267532579600811,8000
pubcov,logreg,TX,2017,combined,0.7485,-0.0658749999999999,-0.03201069115383459,0.06919874133536652,0.060252306769023045,0.02025,0.023264095187187195,8000
pubcov,logreg,TX,2018,combined,0.7485,-0.07487499999999991,-0.03366445372213245,0.06936508631486327,0.06274257390338045,0.01975,0.01580844074487686,8000
pubcov,logreg,NY,2014,geographic,0.7485,0.03137500000000004,-0.003509613786249921,-0.09396304494920504,0.06526838174348559,0.01725,0.032568253576755524,8000
pubcov,logreg,NY,2015,combined,0.7485,0.054625000000000035,-0.0016433053576639933,-0.11419568573887073,0.09410009690087207,0.02325,0.018446005880832672,8000
