task,model,state,year,shift,n_target,ace_iso_tgt,acc_src,auc_src,ap_src,brier_src,ace_src,dp_sex_src,eo_sex_src,dp_rac_src,eo_rac_src,acc_tgt,auc_tgt,ap_tgt,brier_tgt,ace_tgt,dp_sex_tgt,eo_sex_tgt,dp_rac_tgt,eo_rac_tgt
income,logreg,AZ,2016,combined,8000,0.053443120625335724,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.769125,0.8271779003493289,0.6360108054974547,0.15751707432049827,0.06365287125479199,0.06728242068266127,0.02821834231050835,0.15146720861631335,0.09485472107078442
income,logreg,AZ,2017,combined,8000,0.03769432980520649,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.77675,0.8372753971169988,0.6698585725238434,0.1529784451784654,0.04438132395096999,0.05187517733625158,0.008365049262526833,0.14622580024167867,0.08785984785161034
income,logreg,AZ,2018,combined,8000,0.024034863301785652,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.7615,0.8250990735093953,0.672451869377533,0.16148297167994455,0.034893562401414335,0.03356702783089016,0.016493488051048513,0.1341092622911414,0.060851965559247566
income,logreg,MA,2014,geographic,8000,0.031096332634100686,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.770625,0.8531156484815602,0.7794301251724746,0.15513028338905355,0.03254356691459407,0.07278065796210959,0.004994628898550332,0.12540421501842786,0.04370235267545288
income,logreg,MA,2015,combined,8000,0.036392548628151423,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.768125,0.8516470898280555,0.7694856440376914,0.15664235380175612,0.04445215549092746,0.09423522735429563,0.015483271444896196,0.12352467423651442,0.027120536455775876
income,logreg,MA,2016,combined,8000,0.04182499085948802,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.7625,0.8449899135604484,0.7759692379541916,0.1607520171724871,0.03629699083364176,0.08072503367048295,0.008967015188322311,0.11573337458381217,0.033978299189626
income,logreg,MA,2017,combined,8000,0.05397182719316333,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.7565,0.8429028582352129,0.7739323733915023,0.16402016147358392,0.05849431730673724,0.08034873269616216,0.016073744664391515,0.11885958902135252,0.02948913687694188
income,logreg,MA,2018,combined,8000,0.06622242930810901,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.75025,0.8406493377325936,0.7914036524781553,0.1668632890006227,0.0630954399749262,0.0725713059939937,0.006321596338053709,0.12555530495639572,0.06116729689664333
income,rf,CA,2015,temporal,8000,0.0277600394093669,0.784,0.8623953786778822,0.7563418205302382,0.1430357063831964,0.020902577680611666,0.028274865036503616,0.04360414012937869,0.04689285841484464,0.005262909541712102,0.783875,0.8596320000000001,0.7702176039449512,0.1474530541474457,0.013921510753646739,0.06308975236089515,0.00825947150143111,0.0316703289639505,0.02019373272269613
income,rf,CA,2016,temporal,8000,0.03223942002170076,0.784,0.8623953786778822,0.7563418205302382,0.1430357063831964,0.020902577680611666,0.028274865036503616,0.04360414012937869,0.04689285841484464,0.005262909541712102,0.78375,0.8632206582826059,0.7729940634519832,0.1462730036389033,0.01944619278180159,0.06555554153380799,0.006618649856030195,0.040190873657790116,0.004522203713464054
